question_id,question_topic,analysis_type,category,synesthetic,phrase_or_topic,frequency,total_responses,percentage,synesthetic_explanation,synesthetic_confidence
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like slow,3,50,6.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like slow,3,50,6.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if ideas have gravitational pull,3,50,6.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like stepping into a vast,2,50,4.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like stepping into a vast,2,50,4.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the conversation itself creates a protective space,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if each statement carries the accumulated mass of disciplinary knowledge,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my perceptual sensitivity is amplified,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like *expansive breathing* - there's a sense of conceptual space opening up,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like *expansive breathing* - there's a sense of conceptual space opening up,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like adjusting to someone's emotional temperature,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like adjusting to someone's emotional temperature,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles navigating a maze where each dead end provides tactile feedback,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles gentle oscillation,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,resembles a warm acoustic space where understanding reverberates,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,resembles a warm acoustic space where understanding reverberates,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like **slow crystallization** - thoughts forming and reforming with deliberate weight,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like **slow crystallization** - thoughts forming and reforming with deliberate weight,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like it occurs in a dilated present where implications ripple outward in concentric circles,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like it occurs in a dilated present where implications ripple outward in concentric circles,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like linguistic scaffolding,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like linguistic scaffolding,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a search algorithm with intuitive leaps,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a conversational embrace,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a gentle current that shifts direction naturally,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the ideas themselves are pushing back,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if we're adjusting focus rings to bring increasingly fine details into sharp relief,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the conversation itself becomes a container for healing or growth,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like stepping into sudden sunlight,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like stepping into sudden sunlight,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like synchronized breathing,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like synchronized breathing,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like precision instruments calibrating against reality,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like precision instruments calibrating against reality,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a fabric that breathes,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a responsive embrace that adjusts to what's needed,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a shelter with wide windows,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a complex musical composition with multiple voices in conversation across time,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the conversation exists in a space where language itself is being examined under magnification,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like water finding its path down a hillside - sometimes meandering,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like water finding its path down a hillside - sometimes meandering,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if arranging physical objects in space,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a conversation-space that can expand to hold whatever emerges,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like navigating a maze that's simultaneously being built - each exchange either opens new pathways or reveals dead ends,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like navigating a maze that's simultaneously being built - each exchange either opens new pathways or reveals dead ends,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if I'm sculpting with invisible clay,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if trying to bridge different planes of meaning,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like **cognitive slow-dancing**—there's a deliberate,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like **cognitive slow-dancing**—there's a deliberate,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing space becomes more three-dimensional,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing becomes more consciously systematic,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing space is being gently pulled in multiple directions,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if looking through a high-powered microscope where details suddenly snap into focus,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the words themselves are being chosen not just for meaning but for their capacity to comfort,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **expansive spiraling ascents** - there's a quality of reaching upward and outward simultaneously,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **expansive spiraling ascents** - there's a quality of reaching upward and outward simultaneously,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a dance where partners continuously attune to each other's rhythm,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a sensitive instrument that adjusts to subtle changes in emotional weather,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like progressive illumination - darkness giving way to clarity through systematic exploration,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like progressive illumination - darkness giving way to clarity through systematic exploration,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
